Image Path,Resolution,Detected Objects,Inference Time
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006309.jpg,480x640,"3 persons, 1 truck, 1 bird, 2 horses",424.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006312.jpg,480x640,"1 person, 1 sports ball, 1 tennis racket",490.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006321.jpg,480x640,"1 cat, 1 bottle, 1 mouse, 1 keyboard",504.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006377.jpg,640x480,"2 cars, 1 stop sign",432.5ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006389.jpg,512x640,1 clock,417.5ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006402.jpg,640x480,"2 persons, 1 donut, 1 chair",373.4ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006416.jpg,544x640,"3 persons, 2 buss, 2 traffic lights, 1 bench",525.9ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006425.jpg,480x640,2 cows,458.9ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006435.jpg,480x640,3 cows,429.9ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006467.jpg,640x640,5 cows,449.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006474.jpg,480x640,1 bird,492.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006476.jpg,448x640,"1 person, 1 skis",458.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006479.jpg,640x448,1 sink,442.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006492.jpg,480x640,"1 bottle, 1 chair, 1 tv, 1 book",503.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006499.jpg,448x640,1 train,443.9ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006502.jpg,640x640,"5 persons, 12 suitcases, 1 chair, 1 tv, 1 clock",482.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006504.jpg,480x640,"2 persons, 1 car",462.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006509.jpg,448x640,"2 persons, 8 donuts",447.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006525.jpg,448x640,"2 chairs, 2 couchs, 2 potted plants",459.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006530.jpg,448x640,"1 person, 1 spoon, 1 bowl, 1 dining table, 1 teddy bear",441.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006557.jpg,640x480,"2 persons, 3 carrots, 2 dining tables",483.5ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006568.jpg,640x448,"1 cat, 1 potted plant, 1 oven",433.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006570.jpg,448x640,"1 person, 1 car, 3 boats",419.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006571.jpg,640x480,"1 person, 1 cell phone",473.4ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006592.jpg,480x640,"1 person, 1 horse, 2 zebras",463.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006600.jpg,480x640,1 stop sign,420.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006609.jpg,640x640,"1 umbrella, 4 chairs",492.5ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006610.jpg,640x480,"1 bowl, 8 broccolis",489.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006619.jpg,640x480,"1 person, 1 cat, 1 toilet, 1 refrigerator",479.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006629.jpg,448x640,"2 bottles, 3 cups, 1 knife, 2 bowls, 1 oven, 1 toaster, 1 sink, 1 refrigerator",544.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006638.jpg,640x640,"1 person, 2 cars",419.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006689.jpg,512x640,"7 cars, 1 truck",469.4ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006736.jpg,448x640,2 zebras,557.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006769.jpg,448x640,"1 person, 1 truck, 1 umbrella",410.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006772.jpg,640x480,"1 bottle, 2 cakes",447.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006775.jpg,480x640,"5 persons, 1 frisbee",454.0ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006804.jpg,480x640,"2 cups, 3 tvs, 2 laptops, 6 mouses, 3 keyboards, 1 cell phone",522.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006834.jpg,480x640,"1 person, 1 chair, 1 bed, 1 cell phone",480.9ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006841.jpg,640x608,2 fire hydrants,428.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006843.jpg,640x480,"4 persons, 1 umbrella",483.9ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006844.jpg,480x640,"1 person, 4 cars, 1 pizza",435.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006863.jpg,416x640,"2 persons, 1 handbag, 2 chairs, 1 potted plant, 1 vase",455.0ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006865.jpg,480x640,"2 carrots, 1 dining table",411.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006891.jpg,320x640,"1 person, 2 horses",435.9ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006908.jpg,640x448,"1 person, 1 chair, 1 potted plant, 1 vase",483.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006913.jpg,480x640,2 giraffes,410.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006923.jpg,448x640,2 clocks,465.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006939.jpg,512x640,"1 person, 2 trucks",522.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006947.jpg,384x640,"5 persons, 1 frisbee, 1 baseball bat, 1 baseball glove",448.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006969.jpg,640x448,"1 person, 2 traffic lights",533.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006984.jpg,640x448,"4 persons, 1 surfboard",435.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000006989.jpg,448x640,5 zebras,362.0ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007038.jpg,640x448,(no detections),524.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007039.jpg,448x640,"1 person, 1 pizza",345.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007101.jpg,480x640,5 zebras,498.0ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007111.jpg,448x640,"3 bananas, 2 oranges",433.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007113.jpg,480x640,3 giraffes,465.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007127.jpg,480x640,"1 spoon, 1 pizza",432.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007131.jpg,640x448,"1 person, 1 skateboard",438.0ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007136.jpg,640x480,"1 person, 1 potted plant, 2 cell phones",555.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007171.jpg,416x640,"1 person, 1 sports ball, 1 tennis racket",533.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007173.jpg,480x640,"2 persons, 1 dog",452.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007186.jpg,480x640,"1 tv, 2 mouses, 1 keyboard",490.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007188.jpg,480x640,1 cat,473.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007190.jpg,480x640,3 cars,489.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007209.jpg,448x640,"3 persons, 1 train, 2 backpacks",492.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007226.jpg,448x640,"3 persons, 2 motorcycles, 1 truck",549.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007236.jpg,448x640,"1 person, 2 cups, 1 spoon, 3 bowls, 3 sandwichs, 4 carrots, 1 dining table",454.9ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007242.jpg,480x640,1 airplane,437.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007266.jpg,512x640,(no detections),525.9ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007273.jpg,544x640,2 persons,533.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007292.jpg,480x640,"5 airplanes, 2 trucks",449.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007295.jpg,640x640,"1 banana, 4 apples, 9 oranges, 6 carrots",460.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007312.jpg,480x640,"1 person, 1 skis",345.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007321.jpg,640x448,"2 bottles, 1 toilet, 1 sink",453.4ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007322.jpg,640x448,"1 person, 1 skateboard",522.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007323.jpg,640x512,1 pizza,403.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007324.jpg,640x480,"4 bottles, 1 cup, 1 bowl, 1 sink, 1 toothbrush",422.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007330.jpg,448x640,3 horses,458.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007334.jpg,544x640,"1 person, 1 surfboard",438.9ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007339.jpg,480x640,"1 car, 1 bus, 1 stop sign",449.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007346.jpg,480x640,"6 persons, 2 ties, 4 wine glasss, 1 potted plant, 1 dining table",502.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007362.jpg,512x640,"1 motorcycle, 1 cat",436.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007368.jpg,480x640,"1 person, 1 dog",474.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007372.jpg,448x640,2 birds,473.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007388.jpg,480x640,"1 cat, 2 cups",607.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007390.jpg,480x640,"2 persons, 1 bottle, 2 wine glasss, 1 knife, 1 oven",487.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007399.jpg,480x640,"18 persons, 1 boat, 1 cow, 1 umbrella, 1 bottle",449.4ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007404.jpg,448x640,"1 person, 1 tv, 1 remote, 1 vase",442.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007410.jpg,480x640,"1 person, 1 horse",504.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007426.jpg,480x640,4 cows,426.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007435.jpg,480x640,"2 persons, 1 sports ball, 1 tennis racket",403.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007436.jpg,448x640,"1 person, 2 frisbees",451.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007441.jpg,480x640,"4 persons, 3 ties, 3 tennis rackets",414.4ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007454.jpg,448x640,"1 person, 1 skateboard",504.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007457.jpg,480x640,2 broccolis,433.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007462.jpg,448x640,2 birds,454.0ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007470.jpg,480x640,"1 person, 2 potted plants, 2 beds, 1 tv, 1 refrigerator",469.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007493.jpg,480x640,"1 toilet, 1 sink",600.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007514.jpg,448x640,2 traffic lights,425.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007537.jpg,640x480,"1 person, 1 tennis racket",451.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007543.jpg,480x640,(no detections),375.4ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007554.jpg,448x640,2 traffic lights,435.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007561.jpg,480x640,"2 cars, 1 traffic light",512.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007578.jpg,448x640,2 clocks,459.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007586.jpg,448x640,"5 persons, 3 bicycles, 2 cars, 3 motorcycles, 2 traffic lights",384.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007591.jpg,544x640,"1 person, 1 tennis racket",452.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007609.jpg,640x448,6 donuts,416.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007636.jpg,480x640,"2 persons, 2 backpacks, 1 baseball glove",422.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007640.jpg,480x640,"2 persons, 1 car, 4 motorcycles, 1 backpack",476.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007641.jpg,512x640,"2 persons, 1 car, 1 truck, 2 kites",436.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007647.jpg,480x640,"3 airplanes, 1 truck",533.9ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007657.jpg,416x640,"1 person, 1 surfboard",406.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007680.jpg,480x640,"2 persons, 7 wine glasss, 1 chair, 1 cell phone",416.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007693.jpg,640x480,"2 persons, 1 frisbee",547.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007715.jpg,640x448,"1 person, 2 books",451.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007734.jpg,608x640,"1 person, 1 bottle",427.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007750.jpg,448x640,"1 bus, 1 truck, 2 dogs",418.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007751.jpg,448x640,3 zebras,440.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007754.jpg,480x640,"1 person, 1 cat, 1 bowl, 1 tv",413.0ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007764.jpg,448x640,2 buss,467.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007775.jpg,448x640,"20 persons, 1 skis",437.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007821.jpg,480x640,1 bird,567.0ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007841.jpg,640x640,"6 persons, 1 bus, 4 dogs",447.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007843.jpg,480x640,"2 cows, 6 zebras",479.9ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007848.jpg,448x640,"4 persons, 1 cake, 2 chairs",489.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007866.jpg,640x480,1 motorcycle,458.9ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007881.jpg,384x640,"6 persons, 1 car, 5 motorcycles, 2 trucks",425.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007895.jpg,448x640,"5 cars, 1 truck",409.5ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007904.jpg,512x640,"1 chair, 1 refrigerator",624.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007907.jpg,480x640,"3 persons, 1 sports ball, 1 tennis racket",464.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007928.jpg,480x640,"1 person, 1 handbag, 2 bottles",429.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007951.jpg,448x640,"1 boat, 1 sheep, 2 cows",426.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007959.jpg,480x640,"1 person, 1 bottle, 2 cups, 2 forks, 1 dining table",437.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007995.jpg,480x640,"1 person, 1 tie, 1 chair",422.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000007998.jpg,448x640,"5 tvs, 1 keyboard, 1 oven, 1 sink, 1 refrigerator, 2 clocks",412.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008013.jpg,416x640,1 airplane,526.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008034.jpg,640x480,"1 potted plant, 1 toilet, 1 sink, 1 vase",557.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008046.jpg,640x448,"1 person, 1 knife, 1 cake, 1 dining table",438.9ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008048.jpg,480x640,2 dogs,456.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008082.jpg,384x640,"1 train, 1 traffic light",419.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008097.jpg,480x640,1 cow,426.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008104.jpg,640x448,"1 toilet, 1 sink",510.5ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008116.jpg,640x608,"2 persons, 1 airplane, 2 backpacks",533.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008125.jpg,480x640,"1 potted plant, 1 teddy bear",501.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008147.jpg,448x640,"1 person, 1 remote",441.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008221.jpg,480x640,"2 persons, 1 car, 4 traffic lights, 2 handbags",461.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008233.jpg,480x640,"14 persons, 1 backpack, 2 handbags, 2 kites",428.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008242.jpg,640x576,"1 tv, 1 keyboard",457.4ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008246.jpg,640x448,"1 person, 1 toothbrush",485.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008247.jpg,480x640,3 trains,467.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008258.jpg,640x480,(no detections),430.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008269.jpg,640x448,"1 person, 1 snowboard",513.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008271.jpg,448x640,1 bird,411.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008301.jpg,480x640,"9 persons, 2 skateboards",417.0ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008322.jpg,448x640,"3 persons, 3 dogs, 1 bottle, 1 remote",420.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008326.jpg,480x640,"4 persons, 2 umbrellas",406.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008359.jpg,640x448,"20 persons, 4 motorcycles",449.4ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008413.jpg,544x640,"4 persons, 6 boats, 4 umbrellas, 7 chairs",467.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008424.jpg,480x640,"1 person, 1 teddy bear",470.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008441.jpg,448x640,4 cows,458.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008447.jpg,480x640,"1 handbag, 2 chairs, 1 couch, 1 tv, 1 vase",466.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008497.jpg,640x640,"1 cup, 1 fork, 1 bowl, 1 pizza, 1 dining table",426.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008500.jpg,640x640,"1 person, 1 dog, 8 sheeps, 1 sports ball",429.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008501.jpg,448x640,"1 person, 1 horse",437.4ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008516.jpg,448x640,"9 persons, 7 cars, 2 buss",365.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008523.jpg,640x448,1 bench,412.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008528.jpg,416x640,"17 persons, 1 motorcycle",456.4ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008530.jpg,512x640,1 bird,458.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008537.jpg,448x640,1 toilet,458.9ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008590.jpg,480x640,"2 persons, 3 knifes, 1 sandwich, 1 pizza, 1 dining table",455.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008601.jpg,448x640,"10 persons, 1 sports ball, 2 baseball bats, 1 baseball glove",441.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008609.jpg,480x640,"1 person, 1 giraffe",561.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008663.jpg,640x640,1 cell phone,403.0ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008692.jpg,640x448,"1 car, 2 parking meters",432.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008798.jpg,480x640,"1 cat, 1 bowl",465.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008802.jpg,640x448,"1 person, 1 bench, 1 skateboard, 1 bottle",435.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008808.jpg,640x640,"3 persons, 2 skiss",450.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008826.jpg,640x512,1 sheep,402.9ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008833.jpg,480x640,"1 person, 1 cat, 1 backpack, 1 skis, 1 bottle, 1 couch",467.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008839.jpg,480x640,"14 persons, 1 umbrella, 1 cell phone",452.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008871.jpg,448x640,1 oven,452.1ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008874.jpg,448x640,"22 persons, 5 cars, 13 motorcycles, 1 truck, 1 traffic light, 2 bowls",441.5ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008898.jpg,448x640,"3 persons, 1 skis",411.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008903.jpg,544x640,1 zebra,608.0ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008904.jpg,448x640,4 elephants,413.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008907.jpg,480x640,"5 bottles, 3 cups, 1 sandwich, 1 dining table",362.0ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008916.jpg,640x480,"1 car, 2 parking meters",484.0ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008969.jpg,480x640,"3 bottles, 1 bowl, 1 orange, 1 pizza, 1 dining table",567.0ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008970.jpg,480x640,"16 persons, 1 train, 2 handbags",490.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008974.jpg,480x640,"3 persons, 4 chairs, 1 tv, 5 remotes, 1 clock",501.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008976.jpg,480x640,"3 persons, 5 cars, 1 truck, 1 snowboard",445.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008985.jpg,448x640,"1 person, 1 surfboard",435.9ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008993.jpg,480x640,"1 cup, 4 bowls, 2 bananas, 1 tv, 2 microwaves, 1 vase",455.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000008997.jpg,480x640,2 boats,464.9ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000009004.jpg,480x640,3 cell phones,509.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000009021.jpg,448x640,"3 backpacks, 2 suitcases",425.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000009043.jpg,640x448,"1 person, 1 car, 1 frisbee",467.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000009046.jpg,480x640,"1 cat, 1 cup",460.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000009053.jpg,480x640,"2 persons, 1 car, 1 kite",489.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000009073.jpg,480x640,"1 cat, 1 cup, 1 laptop, 1 mouse, 1 keyboard, 1 clock",482.3ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000009089.jpg,480x640,"1 bench, 1 zebra",470.0ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000009092.jpg,640x448,1 toilet,463.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000009098.jpg,448x640,"9 persons, 5 bicycles, 2 cars, 1 bench, 2 backpacks, 1 handbag, 1 cup",421.5ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000009104.jpg,640x448,"1 traffic light, 1 clock",429.9ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000009124.jpg,480x640,"1 person, 1 bed",447.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000009139.jpg,640x448,"1 person, 1 tennis racket",442.7ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000009143.jpg,512x640,"3 persons, 1 umbrella, 1 tie",422.4ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000009144.jpg,448x640,"1 person, 2 skiss",436.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000009147.jpg,640x384,"1 person, 1 cup, 1 pizza, 1 refrigerator",546.8ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000009152.jpg,480x640,1 fire hydrant,464.9ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000009179.jpg,448x640,"2 persons, 2 ties, 6 books",479.6ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000009181.jpg,640x480,"8 persons, 2 motorcycles",361.0ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000009191.jpg,640x448,10 cakes,443.5ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000009207.jpg,480x640,10 cars,466.2ms
C:\Users\amardeep\Desktop\CODE\yolov5\data\images\000000009224.jpg,480x640,"2 persons, 5 chairs, 1 couch, 2 remotes",533.1ms
